ID	Name	Macroarea	Latitude	Longitude	Glottocode	ISO639P3code
H	Hungarian	Eurasia	46.91	19.66	hung1274	hun
OH	Old_Hungarian	Eurasia	47.91	20.66	hung1275	hun
LAH	Late_Ancient_Hungarian	Eurasia	48.91	21.66	hung1276	hun
EAH	Early_Ancient_Hungarian	Eurasia	49.91	22.66	hung1277	hun
