ID,Target_Form_ID,Source_Form_ID,Comment,Source
64-70_peapisumsativumbean,EAH-70_peapisumsativumbean-1,WOT-70_peapisumsativumbean-1,,wot
65-71_badgermelesmeles,EAH-71_badgermelesmeles-1,WOT-71_badgermelesmeles-1,,wot
66-72_witchsorceress,EAH-72_witchsorceress-1,WOT-72_witchsorceress-1,,wot
67-73_toannoy,EAH-73_toannoy-1,WOT-73_toannoy-1,,wot
68-74_revenge,EAH-74_revenge-1,WOT-74_revenge-1,,wot
69-78_stickcane,EAH-78_stickcane-1,WOT-78_stickcane-1,,wot
70-78_stickcane,EAH-78_stickcane-2,WOT-78_stickcane-2,,wot
71-78_stickcane,EAH-78_stickcane-3,WOT-78_stickcane-3,,wot
72-78_stickcane,EAH-78_stickcane-4,WOT-78_stickcane-4,,wot
73-80_richabundantroomy,EAH-80_richabundantroomy-1,WOT-80_richabundantroomy-1,,wot
74-81_horseflygadfly,EAH-81_horseflygadfly-1,WOT-81_horseflygadfly-1,,wot
75-82_fasting,EAH-82_fasting-1,WOT-82_fasting-1,,wot
76-83_wise,EAH-83_wise-1,WOT-83_wise-1,,wot
77-84_cradle,EAH-84_cradle-1,WOT-84_cradle-1,,wot
78-85_bison,EAH-85_bison-1,WOT-85_bison-1,,wot
79-86_prisonjail,EAH-86_prisonjail-1,WOT-86_prisonjail-1,,wot
80-88_sadbadtempered,EAH-88_sadbadtempered-1,WOT-88_sadbadtempered-1,,wot
81-89_farewellindulgencededicationfestivalannualparishfeast,EAH-89_farewellindulgencededicationfestivalannualparishfeast-1,WOT-89_farewellindulgencededicationfestivalannualparishfeast-1,,wot
82-91_volgabulgar,EAH-91_volgabulgar-1,WOT-91_volgabulgar-1,,wot
83-92_steamvapourfumesheat,EAH-92_steamvapourfumesheat-1,WOT-92_steamvapourfumesheat-1,,wot
84-93_wheattriticum,EAH-93_wheattriticum-1,WOT-93_wheattriticum-1,,wot
85-95_beech,EAH-95_beech-1,WOT-95_beech-1,,wot
86-96_sin,EAH-96_sin-1,WOT-96_sin-1,,wot
