ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
H-20_atypeoflasso-1-1,H-20_atypeoflasso-1,ārkāń,21,false,expert,wot,,,
EAH-20_atypeoflasso-1-1,EAH-20_atypeoflasso-1,arkan,21,false,expert,wot,,,
H-21_ditchcanal-1-1,H-21_ditchcanal-1,ārok,22,false,expert,wot,,,
EAH-21_ditchcanal-1-1,EAH-21_ditchcanal-1,āruk,22,false,expert,wot,,,
H-22_barleyhordeum-1-1,H-22_barleyhordeum-1,ārpå,23,false,expert,wot,,,
EAH-22_barleyhordeum-1-1,EAH-22_barleyhordeum-1,arpa,23,false,expert,wot,,,
H-23_barrow-1-1,H-23_barrow-1,ārtāń,24,false,expert,wot,,,
EAH-23_barrow-1-1,EAH-23_barrow-1,aritan,24,false,expert,wot,,,
H-24_gauntrygantryforsupportingbarrels-1-1,H-24_gauntrygantryforsupportingbarrels-1,āsok,25,false,expert,wot,,,
OH-24_gauntrygantryforsupportingbarrels-1-1,OH-24_gauntrygantryforsupportingbarrels-1,ask,25,false,expert,wot,,,
EAH-24_gauntrygantryforsupportingbarrels-1-1,EAH-24_gauntrygantryforsupportingbarrels-1,aski,25,false,expert,wot,,,
H-25_charm-1-1,H-25_charm-1,bāy,26,false,expert,wot,,,
EAH-25_charm-1-1,EAH-25_charm-1,bay,26,false,expert,wot,,,
H-26_soggyplacemoorswampmarsh-1-1,H-26_soggyplacemoorswampmarsh-1,bålkāń,27,false,expert,wot,,,
EAH-26_soggyplacemoorswampmarsh-1-1,EAH-26_soggyplacemoorswampmarsh-1,balkan,27,false,expert,wot,,,
H-27_hatchetaxe-1-1,H-27_hatchetaxe-1,båltå,28,false,expert,wot,,,
EAH-27_hatchetaxe-1-1,EAH-27_hatchetaxe-1,balta,28,false,expert,wot,,,
H-28_paganidolstoneorwoodenpillarverticalbeamofdifferentwoodeninstrumentsstrongcorpulentperson-1-1,H-28_paganidolstoneorwoodenpillarverticalbeamofdifferentwoodeninstrumentsstrongcorpulentperson-1,bālvāń,29,false,expert,wot,,,
EAH-28_paganidolstoneorwoodenpillarverticalbeamofdifferentwoodeninstrumentsstrongcorpulentperson-1-1,EAH-28_paganidolstoneorwoodenpillarverticalbeamofdifferentwoodeninstrumentsstrongcorpulentperson-1,balvan,29,false,expert,wot,,,
H-29_governorofcroatiagovernorofthesouthernmarches-1-1,H-29_governorofcroatiagovernorofthesouthernmarches-1,bān,30,false,expert,wot,,,
H-30_toregrettobesorry-1-1,H-30_toregrettobesorry-1,bān,31,false,expert,wot,,,
EAH-30_toregrettobesorry-1-1,EAH-30_toregrettobesorry-1,baγin,31,false,expert,wot,,,
H-31_hairybushyofdogsabighairydogasnoun-1-1,H-31_hairybushyofdogsabighairydogasnoun-1,bårāg,32,false,expert,wot,,,
EAH-31_hairybushyofdogsabighairydogasnoun-1-1,EAH-31_hairybushyofdogsabighairydogasnoun-1,barag,32,false,expert,wot,,,
H-32_labeltag-1-1,H-32_labeltag-1,bārcå,33,false,expert,wot,,,
EAH-32_labeltag-1-1,EAH-32_labeltag-1,bāsa,33,false,expert,wot,,,
H-33_cattlelivestock-1-1,H-33_cattlelivestock-1,bårom,34,false,expert,wot,,,
EAH-33_cattlelivestock-1-1,EAH-33_cattlelivestock-1,barum,34,false,expert,wot,,,
H-34_velvet-1-1,H-34_velvet-1,bāršoń,35,false,expert,wot,,,
OH-34_velvet-1-1,OH-34_velvet-1,baršun,35,false,expert,wot,,,
EAH-34_velvet-1-1,EAH-34_velvet-1,barčun,35,false,expert,wot,,,
H-35_tofuck-1-1,H-35_tofuck-1,båsik,36,false,expert,wot,,,
EAH-35_tofuck-1-1,EAH-35_tofuck-1,bas,36,false,expert,wot,,,
H-36_courageousbravevaliant-1-1,H-36_courageousbravevaliant-1,bātor,37,false,expert,wot,,,
EAH-36_courageousbravevaliant-1-1,EAH-36_courageousbravevaliant-1,baγatur,37,false,expert,wot,,,
H-37_toestimatetoesteemtoappreciate-1-1,H-37_toestimatetoesteemtoappreciate-1,bëčül,38,false,expert,wot,,,
EAH-37_toestimatetoesteemtoappreciate-1-1,EAH-37_toestimatetoesteemtoappreciate-1,bečel,38,false,expert,wot,,,
H-38_frog-1-1,H-38_frog-1,bēkå,39,false,expert,wot,,,
EAH-38_frog-1-1,EAH-38_frog-1,baka,39,false,expert,wot,,,
H-40_hobbleshacklelegiron-1-1,H-40_hobbleshacklelegiron-1,bēkō,40,false,expert,wot,,,
EAH-40_hobbleshacklelegiron-1-1,EAH-40_hobbleshacklelegiron-1,bikaγu,40,false,expert,wot,,,
H-40_hobbleshacklelegiron-2-1,H-40_hobbleshacklelegiron-2,bēklʹō,41,false,expert,wot,,,
EAH-40_hobbleshacklelegiron-2-1,EAH-40_hobbleshacklelegiron-2,bikaγu,41,false,expert,wot,,,
H-41_stampbondmark-1-1,H-41_stampbondmark-1,bēlʹeg,42,false,expert,wot,,,
OH-41_stampbondmark-1-1,OH-41_stampbondmark-1,bēlʹeg,42,false,expert,wot,,,
EAH-41_stampbondmark-1-1,EAH-41_stampbondmark-1,beleg,42,false,expert,wot,,,
H-42_wagerent-1-1,H-42_wagerent-1,bēr,43,false,expert,wot,,,
EAH-42_wagerent-1-1,EAH-42_wagerent-1,bērü,43,false,expert,wot,,,
H-43_nameofapeople-1-1,H-43_nameofapeople-1,bercel,44,false,expert,wot,,,
OH-43_nameofapeople-1-1,OH-43_nameofapeople-1,bercel,44,false,expert,wot,,,
EAH-43_nameofapeople-1-1,EAH-43_nameofapeople-1,bersil,44,false,expert,wot,,,
H-44_grainorsmallglobuleofpreciousmetal-1-1,H-44_grainorsmallglobuleofpreciousmetal-1,bertǖ,45,false,expert,wot,,,
OH-44_grainorsmallglobuleofpreciousmetal-1-1,OH-44_grainorsmallglobuleofpreciousmetal-1,börtǖ,45,false,expert,wot,,,
LAH-44_grainorsmallglobuleofpreciousmetal-1-1,LAH-44_grainorsmallglobuleofpreciousmetal-1,börteü̯,45,false,expert,wot,,,
EAH-44_grainorsmallglobuleofpreciousmetal-1-1,EAH-44_grainorsmallglobuleofpreciousmetal-1,bürtiγ,45,false,expert,wot,,,
H-45_abirdofprey-1-1,H-45_abirdofprey-1,beše,46,false,expert,wot,,,
EAH-45_abirdofprey-1-1,EAH-45_abirdofprey-1,beše,46,false,expert,wot,,,
H-46_pechenegnameofatribe-1-1,H-46_pechenegnameofatribe-1,bešeńȫ,47,false,expert,wot,,,
OH-46_pechenegnameofatribe-1-1,OH-46_pechenegnameofatribe-1,bešeneü̯,47,false,expert,wot,,,
EAH-46_pechenegnameofatribe-1-1,EAH-46_pechenegnameofatribe-1,bešeneγ,47,false,expert,wot,,,
H-47_letterofthealphabet-1-1,H-47_letterofthealphabet-1,betǖ,48,false,expert,wot,,,
OH-47_letterofthealphabet-1-1,OH-47_letterofthealphabet-1,beteü̯,48,false,expert,wot,,,
EAH-47_letterofthealphabet-1-1,EAH-47_letterofthealphabet-1,bitiγ,48,false,expert,wot,,,
H-50_pocketknife-1-1,H-50_pocketknife-1,bičåk,49,false,expert,wot,,,
EAH-50_pocketknife-1-1,EAH-50_pocketknife-1,bičak,49,false,expert,wot,,,
H-50_pocketknife-2-1,H-50_pocketknife-2,bičåk,50,false,expert,wot,,,
EAH-50_pocketknife-2-1,EAH-50_pocketknife-2,bičak,50,false,expert,wot,,,
H-50_pocketknife-3-1,H-50_pocketknife-3,bičåk,51,false,expert,wot,,,
EAH-50_pocketknife-3-1,EAH-50_pocketknife-3,bičak,51,false,expert,wot,,,
H-51_bull-1-1,H-51_bull-1,bikå,52,false,expert,wot,,,
EAH-51_bull-1-1,EAH-51_bull-1,bika,52,false,expert,wot,,,
H-52_shackles-1-1,H-52_shackles-1,bilinč,53,false,expert,wot,,,
OH-52_shackles-1-1,OH-52_shackles-1,bilinček,53,false,expert,wot,,,
EAH-52_shackles-1-1,EAH-52_shackles-1,bileček,53,false,expert,wot,,,
H-53_judge-1-1,H-53_judge-1,bīrō,54,false,expert,wot,,,
OH-53_judge-1-1,OH-53_judge-1,birō,54,false,expert,wot,,,
EAH-53_judge-1-1,EAH-53_judge-1,biruγ,54,false,expert,wot,,,
H-54_tobeforgivenbocsanat-1-1,H-54_tobeforgivenbocsanat-1,bočānik,55,false,expert,wot,,,
OH-54_tobeforgivenbocsanat-1-1,OH-54_tobeforgivenbocsanat-1,bočan,55,false,expert,wot,,,
EAH-54_tobeforgivenbocsanat-1-1,EAH-54_tobeforgivenbocsanat-1,bolčan,55,false,expert,wot,,,
H-55_toforgive-1-1,H-55_toforgive-1,bočāt,56,false,expert,wot,,,
OH-55_toforgive-1-1,OH-55_toforgive-1,bulšat,56,false,expert,wot,,,
EAH-55_toforgive-1-1,EAH-55_toforgive-1,bulčat,56,false,expert,wot,,,
H-56_bucklerwithhandlehandleofdifferentarms-1-1,H-56_bucklerwithhandlehandleofdifferentarms-1,bōdå,57,false,expert,wot,,,
OH-56_bucklerwithhandlehandleofdifferentarms-1-1,OH-56_bucklerwithhandlehandleofdifferentarms-1,boldå,57,false,expert,wot,,,
EAH-56_bucklerwithhandlehandleofdifferentarms-1-1,EAH-56_bucklerwithhandlehandleofdifferentarms-1,baldaw,57,false,expert,wot,,,
H-57_knotbend-1-1,H-57_knotbend-1,bog,58,false,expert,wot,,,
EAH-57_knotbend-1-1,EAH-57_knotbend-1,bog,58,false,expert,wot,,,
H-58_stackofhay-1-1,H-58_stackofhay-1,boglʹå,59,false,expert,wot,,,
OH-58_stackofhay-1-1,OH-58_stackofhay-1,boglʹå,59,false,expert,wot,,,
LAH-58_stackofhay-1-1,LAH-58_stackofhay-1,bogulʹa,59,false,expert,wot,,,
EAH-58_stackofhay-1-1,EAH-58_stackofhay-1,bogul,59,false,expert,wot,,,
H-59_tasselfringetuftnode-1-1,H-59_tasselfringetuftnode-1,boyt,60,false,expert,wot,,,
OH-59_tasselfringetuftnode-1-1,OH-59_tasselfringetuftnode-1,buyt,60,false,expert,wot,,,
LAH-59_tasselfringetuftnode-1-1,LAH-59_tasselfringetuftnode-1,buγt,60,false,expert,wot,,,
EAH-59_tasselfringetuftnode-1-1,EAH-59_tasselfringetuftnode-1,buγut,60,false,expert,wot,,,
H-60_burdockarctiumsp-1-1,H-60_burdockarctiumsp-1,boytoryān,61,false,expert,wot,,,
EAH-60_burdockarctiumsp-1-1,EAH-60_burdockarctiumsp-1,balturγan,61,false,expert,wot,,,
H-61_ankle-1-1,H-61_ankle-1,bokå,62,false,expert,wot,,,
EAH-61_ankle-1-1,EAH-61_ankle-1,baka,62,false,expert,wot,,,
H-63_ankleboot-1-1,H-63_ankleboot-1,båkånč,63,false,expert,wot,,,
EAH-63_ankleboot-1-1,EAH-63_ankleboot-1,bokå,63,false,expert,wot,,,
H-63_ankleboot-2-1,H-63_ankleboot-2,båkånč,64,false,expert,wot,,,
EAH-63_ankleboot-2-1,EAH-63_ankleboot-2,båkå,64,false,expert,wot,,,
H-64_anthill-1-1,H-64_anthill-1,bolʹ,65,false,expert,wot,,,
OH-64_anthill-1-1,OH-64_anthill-1,bolʹ,65,false,expert,wot,,,
EAH-64_anthill-1-1,EAH-64_anthill-1,boγol,65,false,expert,wot,,,
H-65_wine-1-1,H-65_wine-1,bor,66,false,expert,wot,,,
EAH-65_wine-1-1,EAH-65_wine-1,bor,66,false,expert,wot,,,
H-66_tocovertooverturn-1-1,H-66_tocovertooverturn-1,borīt,67,false,expert,wot,,,
EAH-66_tocovertooverturn-1-1,EAH-66_tocovertooverturn-1,bor,67,false,expert,wot,,,
H-67_cover-1-1,H-67_cover-1,bur,68,false,expert,wot,,,
EAH-67_cover-1-1,EAH-67_cover-1,bur,68,false,expert,wot,,,
H-68_calf-1-1,H-68_calf-1,boryū,69,false,expert,wot,,,
OH-68_calf-1-1,OH-68_calf-1,burγu,69,false,expert,wot,,,
EAH-68_calf-1-1,EAH-68_calf-1,buraγu,69,false,expert,wot,,,
H-69_pepper-1-1,H-69_pepper-1,borš,70,false,expert,wot,,,
EAH-69_pepper-1-1,EAH-69_pepper-1,burč,70,false,expert,wot,,,
H-70_peapisumsativumbean-1-1,H-70_peapisumsativumbean-1,boršō,71,false,expert,wot,,,
OH-70_peapisumsativumbean-1-1,OH-70_peapisumsativumbean-1,buršau̯,71,false,expert,wot,,,
EAH-70_peapisumsativumbean-1-1,EAH-70_peapisumsativumbean-1,burčaγ,71,false,expert,wot,,,
H-71_badgermelesmeles-1-1,H-71_badgermelesmeles-1,borz,72,false,expert,wot,,,
EAH-71_badgermelesmeles-1-1,EAH-71_badgermelesmeles-1,borsi,72,false,expert,wot,,,
H-72_witchsorceress-1-1,H-72_witchsorceress-1,bosorkāń,73,false,expert,wot,,,
EAH-72_witchsorceress-1-1,EAH-72_witchsorceress-1,basarkan,73,false,expert,wot,,,
H-73_toannoy-1-1,H-73_toannoy-1,bossån,74,false,expert,wot,,,
EAH-73_toannoy-1-1,EAH-73_toannoy-1,busan,74,false,expert,wot,,,
H-74_revenge-1-1,H-74_revenge-1,bossū,75,false,expert,wot,,,
OH-74_revenge-1-1,OH-74_revenge-1,bossou̯,75,false,expert,wot,,,
EAH-74_revenge-1-1,EAH-74_revenge-1,bosuγ,75,false,expert,wot,,,
H-78_stickcane-1-1,H-78_stickcane-1,bot,76,false,expert,wot,,,
OH-78_stickcane-1-1,OH-78_stickcane-1,buti,76,false,expert,wot,,,
LAH-78_stickcane-1-1,LAH-78_stickcane-1,butī,76,false,expert,wot,,,
EAH-78_stickcane-1-1,EAH-78_stickcane-1,butiγ,76,false,expert,wot,,,
H-78_stickcane-2-1,H-78_stickcane-2,bot,77,false,expert,wot,,,
OH-78_stickcane-2-1,OH-78_stickcane-2,buti,77,false,expert,wot,,,
LAH-78_stickcane-2-1,LAH-78_stickcane-2,butu,77,false,expert,wot,,,
EAH-78_stickcane-2-1,EAH-78_stickcane-2,butiγ,77,false,expert,wot,,,
H-78_stickcane-3-1,H-78_stickcane-3,but,78,false,expert,wot,,,
OH-78_stickcane-3-1,OH-78_stickcane-3,buti,78,false,expert,wot,,,
LAH-78_stickcane-3-1,LAH-78_stickcane-3,butī,78,false,expert,wot,,,
EAH-78_stickcane-3-1,EAH-78_stickcane-3,butiγ,78,false,expert,wot,,,
H-78_stickcane-4-1,H-78_stickcane-4,but,79,false,expert,wot,,,
OH-78_stickcane-4-1,OH-78_stickcane-4,buti,79,false,expert,wot,,,
LAH-78_stickcane-4-1,LAH-78_stickcane-4,butu,79,false,expert,wot,,,
EAH-78_stickcane-4-1,EAH-78_stickcane-4,butiγ,79,false,expert,wot,,,
H-79_akindofbeeralcoholicbeverage-1-1,H-79_akindofbeeralcoholicbeverage-1,bozå,80,false,expert,wot,,,
EAH-79_akindofbeeralcoholicbeverage-1-1,EAH-79_akindofbeeralcoholicbeverage-1,boza,80,false,expert,wot,,,
H-80_richabundantroomy-1-1,H-80_richabundantroomy-1,bȫ,81,false,expert,wot,,,
OH-80_richabundantroomy-1-1,OH-80_richabundantroomy-1,beü̯,81,false,expert,wot,,,
EAH-80_richabundantroomy-1-1,EAH-80_richabundantroomy-1,beγ,81,false,expert,wot,,,
H-81_horseflygadfly-1-1,H-81_horseflygadfly-1,bögölʹ,82,false,expert,wot,,,
OH-81_horseflygadfly-1-1,OH-81_horseflygadfly-1,bögölʹ,82,false,expert,wot,,,
LAH-81_horseflygadfly-1-1,LAH-81_horseflygadfly-1,bögölʹök,82,false,expert,wot,,,
EAH-81_horseflygadfly-1-1,EAH-81_horseflygadfly-1,bögölök,82,false,expert,wot,,,
H-82_fasting-1-1,H-82_fasting-1,böyt,83,false,expert,wot,,,
OH-82_fasting-1-1,OH-82_fasting-1,büχt,83,false,expert,wot,,,
EAH-82_fasting-1-1,EAH-82_fasting-1,büγte,83,false,expert,wot,,,
H-83_wise-1-1,H-83_wise-1,bölč,84,false,expert,wot,,,
OH-83_wise-1-1,OH-83_wise-1,bȫč,84,false,expert,wot,,,
EAH-83_wise-1-1,EAH-83_wise-1,büγüči,84,false,expert,wot,,,
H-84_cradle-1-1,H-84_cradle-1,bölčȫ,85,false,expert,wot,,,
OH-84_cradle-1-1,OH-84_cradle-1,belčȫ,85,false,expert,wot,,,
EAH-84_cradle-1-1,EAH-84_cradle-1,belčeγ,85,false,expert,wot,,,
H-85_bison-1-1,H-85_bison-1,bölēń,86,false,expert,wot,,,
OH-85_bison-1-1,OH-85_bison-1,belēń,86,false,expert,wot,,,
EAH-85_bison-1-1,EAH-85_bison-1,belen,86,false,expert,wot,,,
H-86_prisonjail-1-1,H-86_prisonjail-1,börtön,87,false,expert,wot,,,
EAH-86_prisonjail-1-1,EAH-86_prisonjail-1,berten,87,false,expert,wot,,,
H-87_ismaelitenameofanethnicgroupinmedievalhungary-1-1,H-87_ismaelitenameofanethnicgroupinmedievalhungary-1,bösörmēń,88,false,expert,wot,,,
OH-87_ismaelitenameofanethnicgroupinmedievalhungary-1-1,OH-87_ismaelitenameofanethnicgroupinmedievalhungary-1,besermen,88,false,expert,wot,,,
H-88_sadbadtempered-1-1,H-88_sadbadtempered-1,būš,89,false,expert,wot,,,
OH-88_sadbadtempered-1-1,OH-88_sadbadtempered-1,bū,89,false,expert,wot,,,
EAH-88_sadbadtempered-1-1,EAH-88_sadbadtempered-1,buγ,89,false,expert,wot,,,
H-89_farewellindulgencededicationfestivalannualparishfeast-1-1,H-89_farewellindulgencededicationfestivalannualparishfeast-1,būčū,90,false,expert,wot,,,
OH-89_farewellindulgencededicationfestivalannualparishfeast-1-1,OH-89_farewellindulgencededicationfestivalannualparishfeast-1,bulčū,90,false,expert,wot,,,
LAH-89_farewellindulgencededicationfestivalannualparishfeast-1-1,LAH-89_farewellindulgencededicationfestivalannualparishfeast-1,bulčū,90,false,expert,wot,,,
EAH-89_farewellindulgencededicationfestivalannualparishfeast-1-1,EAH-89_farewellindulgencededicationfestivalannualparishfeast-1,bulčuγ,90,false,expert,wot,,,
H-90_oxalsooxgoatramwithoutorwithsmallorunusualhornsstupid-1-1,H-90_oxalsooxgoatramwithoutorwithsmallorunusualhornsstupid-1,bugå,91,false,expert,wot,,,
EAH-90_oxalsooxgoatramwithoutorwithsmallorunusualhornsstupid-1-1,EAH-90_oxalsooxgoatramwithoutorwithsmallorunusualhornsstupid-1,buga,91,false,expert,wot,,,
H-91_volgabulgar-1-1,H-91_volgabulgar-1,bulår,92,false,expert,wot,,,
EAH-91_volgabulgar-1-1,EAH-91_volgabulgar-1,bular,92,false,expert,wot,,,
H-92_steamvapourfumesheat-1-1,H-92_steamvapourfumesheat-1,būs,93,false,expert,wot,,,
EAH-92_steamvapourfumesheat-1-1,EAH-92_steamvapourfumesheat-1,būs,93,false,expert,wot,,,
H-93_wheattriticum-1-1,H-93_wheattriticum-1,būzå,94,false,expert,wot,,,
OH-93_wheattriticum-1-1,OH-93_wheattriticum-1,būza,94,false,expert,wot,,,
EAH-93_wheattriticum-1-1,EAH-93_wheattriticum-1,buγzai,94,false,expert,wot,,,
H-94_clubmacereedmace-1-1,H-94_clubmacereedmace-1,buzogāń,95,false,expert,wot,,,
EAH-94_clubmacereedmace-1-1,EAH-94_clubmacereedmace-1,buzgan,95,false,expert,wot,,,
H-95_beech-1-1,H-95_beech-1,bükk,96,false,expert,wot,,,
OH-95_beech-1-1,OH-95_beech-1,bük,96,false,expert,wot,,,
EAH-95_beech-1-1,EAH-95_beech-1,bik,96,false,expert,wot,,,
H-96_sin-1-1,H-96_sin-1,bǖn,97,false,expert,wot,,,
EAH-96_sin-1-1,EAH-96_sin-1,bǖn,97,false,expert,wot,,,
H-97_bluntendofsomethingarodwithanendcutobtuseendofafieldstriptheshortersideorendofapieceoffurniturefootofthehill-1-1,H-97_bluntendofsomethingarodwithanendcutobtuseendofafieldstriptheshortersideorendofapieceoffurniturefootofthehill-1,bütü,98,false,expert,wot,,,
EAH-97_bluntendofsomethingarodwithanendcutobtuseendofafieldstriptheshortersideorendofapieceoffurniturefootofthehill-1-1,EAH-97_bluntendofsomethingarodwithanendcutobtuseendofafieldstriptheshortersideorendofapieceoffurniturefootofthehill-1,bütüγ,98,false,expert,wot,,,
H-98_magical-1-1,H-98_magical-1,bǖvöš,99,false,expert,wot,,,
OH-98_magical-1-1,OH-98_magical-1,bǖ,99,false,expert,wot,,,
EAH-98_magical-1-1,EAH-98_magical-1,büγü,99,false,expert,wot,,,
H-99_akindofwillowsalixelgnos-1-1,H-99_akindofwillowsalixelgnos-1,cigle,100,false,expert,wot,,,
EAH-99_akindofwillowsalixelgnos-1-1,EAH-99_akindofwillowsalixelgnos-1,čigle,100,false,expert,wot,,,
H-103_trapsnareforcatchingbirdsbirdcage-1-1,H-103_trapsnareforcatchingbirdsbirdcage-1,čigle,101,false,expert,wot,,,
EAH-103_trapsnareforcatchingbirdsbirdcage-1-1,EAH-103_trapsnareforcatchingbirdsbirdcage-1,čikle,101,false,expert,wot,,,
H-103_trapsnareforcatchingbirdsbirdcage-2-1,H-103_trapsnareforcatchingbirdsbirdcage-2,čëkle,102,false,expert,wot,,,
EAH-103_trapsnareforcatchingbirdsbirdcage-2-1,EAH-103_trapsnareforcatchingbirdsbirdcage-2,čikle,102,false,expert,wot,,,
H-103_trapsnareforcatchingbirdsbirdcage-3-1,H-103_trapsnareforcatchingbirdsbirdcage-3,čeklʹe,103,false,expert,wot,,,
EAH-103_trapsnareforcatchingbirdsbirdcage-3-1,EAH-103_trapsnareforcatchingbirdsbirdcage-3,čikle,103,false,expert,wot,,,
H-103_trapsnareforcatchingbirdsbirdcage-4-1,H-103_trapsnareforcatchingbirdsbirdcage-4,čikle,104,false,expert,wot,,,
EAH-103_trapsnareforcatchingbirdsbirdcage-4-1,EAH-103_trapsnareforcatchingbirdsbirdcage-4,čikle,104,false,expert,wot,,,
H-104_akindofwillowusedforbasketsandinviticulturesalixpurpurea-1-1,H-104_akindofwillowusedforbasketsandinviticulturesalixpurpurea-1,čigolʹå,105,false,expert,wot,,,
OH-104_akindofwillowusedforbasketsandinviticulturesalixpurpurea-1-1,OH-104_akindofwillowusedforbasketsandinviticulturesalixpurpurea-1,čigolʹa,105,false,expert,wot,,,
EAH-104_akindofwillowusedforbasketsandinviticulturesalixpurpurea-1-1,EAH-104_akindofwillowusedforbasketsandinviticulturesalixpurpurea-1,čigla,105,false,expert,wot,,,
H-105_akindofwillow-1-1,H-105_akindofwillow-1,čiglå,106,false,expert,wot,,,
EAH-105_akindofwillow-1-1,EAH-105_akindofwillow-1,čigla,106,false,expert,wot,,,
H-107_akindofwolfsmilkeasterflowereuphorbia-1-1,H-107_akindofwolfsmilkeasterflowereuphorbia-1,cötkēń,107,false,expert,wot,,,
EAH-107_akindofwolfsmilkeasterflowereuphorbia-1-1,EAH-107_akindofwolfsmilkeasterflowereuphorbia-1,sütken,107,false,expert,wot,,,
H-107_akindofwolfsmilkeasterflowereuphorbia-2-1,H-107_akindofwolfsmilkeasterflowereuphorbia-2,cötkēń,108,false,expert,wot,,,
EAH-107_akindofwolfsmilkeasterflowereuphorbia-2-1,EAH-107_akindofwolfsmilkeasterflowereuphorbia-2,süttegen,108,false,expert,wot,,,
H-108_afishleuciscussouffiaagassizi-1-1,H-108_afishleuciscussouffiaagassizi-1,čåbåk,109,false,expert,wot,,,
