ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
H-0_carpenter-1-1,H-0_carpenter-1,āč,1,false,expert,wot,,,
EAH-0_carpenter-1-1,EAH-0_carpenter-1,aγači,1,false,expert,wot,,,
H-1_cannoncatapult-1-1,H-1_cannoncatapult-1,ādʹū,2,false,expert,wot,,,
OH-1_cannoncatapult-1-1,OH-1_cannoncatapult-1,āldʹū,2,false,expert,wot,,,
LAH-1_cannoncatapult-1-1,LAH-1_cannoncatapult-1,aldau̯,2,false,expert,wot,,,
EAH-1_cannoncatapult-1-1,EAH-1_cannoncatapult-1,aldaγ,2,false,expert,wot,,,
H-2_tofondlepetcaress-1-1,H-2_tofondlepetcaress-1,åynāroz,3,false,expert,wot,,,
EAH-2_tofondlepetcaress-1-1,EAH-2_tofondlepetcaress-1,ayan,3,false,expert,wot,,,
H-4_streamcurrent-1-1,H-4_streamcurrent-1,ākoš,4,false,expert,wot,,,
H-4_streamcurrent-2-1,H-4_streamcurrent-2,āgoš,5,false,expert,wot,,,
H-5_falseimitation-1-1,H-5_falseimitation-1,āl,6,false,expert,wot,,,
EAH-5_falseimitation-1-1,EAH-5_falseimitation-1,āl,6,false,expert,wot,,,
H-9_piedofananimalscoat-1-1,H-9_piedofananimalscoat-1,ålåč,7,false,expert,wot,,,
EAH-9_piedofananimalscoat-1-1,EAH-9_piedofananimalscoat-1,alač,7,false,expert,wot,,,
H-9_piedofananimalscoat-2-1,H-9_piedofananimalscoat-2,ålåč,8,false,expert,wot,,,
EAH-9_piedofananimalscoat-2-1,EAH-9_piedofananimalscoat-2,alač,8,false,expert,wot,,,
H-9_piedofananimalscoat-3-1,H-9_piedofananimalscoat-3,ålåč,9,false,expert,wot,,,
EAH-9_piedofananimalscoat-3-1,EAH-9_piedofananimalscoat-3,alač,9,false,expert,wot,,,
H-9_piedofananimalscoat-4-1,H-9_piedofananimalscoat-4,ålåč,10,false,expert,wot,,,
EAH-9_piedofananimalscoat-4-1,EAH-9_piedofananimalscoat-4,alač,10,false,expert,wot,,,
H-10_apple-1-1,H-10_apple-1,ålmå,11,false,expert,wot,,,
EAH-10_apple-1-1,EAH-10_apple-1,alma,11,false,expert,wot,,,
H-12_barrelwoodencontainerandstandardquantity-1-1,H-12_barrelwoodencontainerandstandardquantity-1,āltålåg,12,false,expert,wot,,,
EAH-12_barrelwoodencontainerandstandardquantity-1-1,EAH-12_barrelwoodencontainerandstandardquantity-1,altalag,12,false,expert,wot,,,
H-12_barrelwoodencontainerandstandardquantity-2-1,H-12_barrelwoodencontainerandstandardquantity-2,ātålåg,13,false,expert,wot,,,
EAH-12_barrelwoodencontainerandstandardquantity-2-1,EAH-12_barrelwoodencontainerandstandardquantity-2,altalag,13,false,expert,wot,,,
H-13_tonursetakecareof-1-1,H-13_tonursetakecareof-1,āpol,14,false,expert,wot,,,
OH-13_tonursetakecareof-1-1,OH-13_tonursetakecareof-1,apol,14,false,expert,wot,,,
EAH-13_tonursetakecareof-1-1,EAH-13_tonursetakecareof-1,op,14,false,expert,wot,,,
H-14_todecayputrifyturnstale-1-1,H-14_todecayputrifyturnstale-1,āporodik,15,false,expert,wot,,,
EAH-14_todecayputrifyturnstale-1-1,EAH-14_todecayputrifyturnstale-1,oporo,15,false,expert,wot,,,
H-15_smalltiny-1-1,H-15_smalltiny-1,åprō,16,false,expert,wot,,,
OH-15_smalltiny-1-1,OH-15_smalltiny-1,oprau̯,16,false,expert,wot,,,
EAH-15_smalltiny-1-1,EAH-15_smalltiny-1,opuruγ,16,false,expert,wot,,,
H-17_tomow-1-1,H-17_tomow-1,åråt,17,false,expert,wot,,,
EAH-17_tomow-1-1,EAH-17_tomow-1,orat,17,false,expert,wot,,,
H-17_tomow-2-1,H-17_tomow-2,åråt,18,false,expert,wot,,,
EAH-17_tomow-2-1,EAH-17_tomow-2,orat,18,false,expert,wot,,,
H-18_todecayputrefygobadoffoodwater-1-1,H-18_todecayputrefygobadoffoodwater-1,ārik,19,false,expert,wot,,,
EAH-18_todecayputrefygobadoffoodwater-1-1,EAH-18_todecayputrefygobadoffoodwater-1,ār,19,false,expert,wot,,,
H-19_toharm-1-1,H-19_toharm-1,ārt,20,false,expert,wot,,,
EAH-19_toharm-1-1,EAH-19_toharm-1,ārtat,20,false,expert,wot,,,
