ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,H_orth
H,Hungarian,hung1274,,hun,Eurasia,46.91,19.66,,
OH,Old_Hungarian,hung1275,,hun,Eurasia,47.91,20.66,,
LAH,Late_Ancient_Hungarian,hung1276,,hun,Eurasia,48.91,21.66,,
EAH,Early_Ancient_Hungarian,hung1277,,hun,Eurasia,49.91,22.66,,
WOT,West_Old_Turkic,chuv1255,,chv,Eurasia,55.49,47.16,,
